YTID,start_seconds,end_seconds,positive_labels
2a6tud6C4JQ,50.0,60.0,/m/02cz_7
3VtUW4hl568,370.0,380.0,/m/02cz_7
BiBk_JCPmI8,60.0,70.0,/m/02cz_7
CnYRUm0HPaI,120.0,130.0,/m/02cz_7
ETYlYOVUYoU,130.0,140.0,/m/02cz_7
JxD9_hxe4Ow,200.0,210.0,/m/02cz_7
RbDVQQ5e0co,550.0,560.0,/m/02cz_7
g9NduchHNsk,40.0,50.0,/m/02cz_7
jttmgqitjMM,160.0,170.0,/m/02cz_7
k1IBejDIg3s,320.0,330.0,/m/02cz_7
k6zxiBFJTs4,20.0,30.0,/m/02cz_7
m2QZEuu2n18,20.0,30.0,/m/02cz_7
qCpWjS0bAwc,30.0,40.0,/m/02cz_7
ueyTTYw7990,30.0,40.0,/m/02cz_7
vfc8rbT-qvM,30.0,40.0,/m/02cz_7
wDY4Ez1wNtA,100.0,110.0,/m/02cz_7
--bJLzZpQdU,270.0,280.0,/m/02cz_7
-4x-B227Su8,220.0,230.0,/m/02cz_7
-93y_ndmxVo,10.0,20.0,/m/02cz_7
-AGCBXxyIJU,80.0,90.0,/m/02cz_7
-EI61WqUJ2I,20.0,30.0,/m/02cz_7
-LWD8KUtrmI,30.0,40.0,/m/02cz_7
-NCz0stTddE,50.0,60.0,/m/02cz_7
-U0Is0dQLD4,160.0,170.0,/m/02cz_7
-Y3u0MC9cSU,10.0,20.0,/m/02cz_7
-auLUJJUUKc,0.0,10.0,/m/02cz_7
-jXoUm_lW4s,260.0,270.0,/m/02cz_7
-nPr0689Gg0,180.0,190.0,/m/02cz_7
-oM2J2hWv8A,90.0,100.0,/m/02cz_7
0-GVuyc-HMQ,130.0,140.0,/m/02cz_7
019eryYc1uY,230.0,240.0,/m/02cz_7
0E6b8qqYLHE,160.0,170.0,/m/02cz_7
0MMxwvf6yyE,10.0,20.0,/m/02cz_7
0aGlkTEJtac,100.0,110.0,/m/02cz_7
0cgZ_2NI7JI,60.0,70.0,/m/02cz_7
0hGXpoKusPo,50.0,60.0,/m/02cz_7
0ogHeq06vZg,10.0,20.0,/m/02cz_7
0olWD2feLgg,0.0,10.0,/m/02cz_7
0r1T-J_GB-Y,310.0,320.0,/m/02cz_7
176szywj2ww,30.0,40.0,/m/02cz_7
18WFRf0Ygv0,0.0,10.0,/m/02cz_7
1HUDVjU-1Gk,70.0,80.0,/m/02cz_7
1OqBJ-r02_0,50.0,60.0,/m/02cz_7
1OuQCzfsSlQ,40.0,50.0,/m/02cz_7
1QmkhCzV7J4,20.0,30.0,/m/02cz_7
1UNEzAtaXgo,380.0,390.0,/m/02cz_7
1UsRyf-qqPo,0.0,10.0,/m/02cz_7
1VfdRCjEjMg,50.0,60.0,/m/02cz_7
1ZRhwMRZyBs,60.0,70.0,/m/02cz_7
1gLpcM3B_dM,40.0,50.0,/m/02cz_7
1ipYTcE0zsM,30.0,40.0,/m/02cz_7
1qC_agbasTo,40.0,50.0,/m/02cz_7
1wz1s0IMAJo,40.0,50.0,/m/02cz_7
1y2IX-visOE,50.0,60.0,/m/02cz_7
2-CZWenDAuI,50.0,60.0,/m/02cz_7
2-KlgeBiOfw,210.0,220.0,/m/02cz_7
299KOsA622Y,270.0,280.0,/m/02cz_7
29QP62E026A,20.0,30.0,/m/02cz_7
2GzyYNYQZlE,140.0,150.0,/m/02cz_7
2NNIx2AU1Ik,80.0,90.0,/m/02cz_7
